n, b, s, q
100, 0, 0, 0
200, 0, 0, 0
300, 0, 0, 0
400, 0, 2, 0
500, 0, 1, 0
600, 0, 1, 0
700, 0, 1, 0
800, 2, 0, 0
900, 2, 1, 0
1000, 2, 1, 1
1100, 2, 2, 0
1200, 3, 2, 0
1300, 4, 2, 0
1400, 4, 2, 0
1500, 6, 3, 1
1600, 7, 4, 1
1700, 6, 4, 1
1800, 9, 5, 1
1900, 8, 6, 0
2000, 9, 5, 0
2100, 8, 6, 0
2200, 11, 6, 1
2300, 12, 6, 1
2400, 12, 7, 1
2500, 14, 8, 1
2600, 14, 8, 1
2700, 15, 10, 0
2800, 17, 9, 0
2900, 18, 12, 0
3000, 21, 11, 1
3100, 21, 12, 0
3200, 23, 12, 1
3300, 23, 14, 1
3400, 25, 15, 0
3500, 27, 17, 0
3600, 29, 16, 0
3700, 29, 17, 1
3800, 31, 18, 0
3900, 33, 18, 1
4000, 34, 19, 1
4100, 61, 25, 0
4200, 42, 22, 1
4300, 47, 24, 0
4400, 44, 25, 0
4500, 46, 25, 1
4600, 49, 28, 1
4700, 52, 29, 1
4800, 52, 30, 1
4900, 57, 31, 1
5000, 58, 33, 0
5100, 61, 33, 1
5200, 64, 35, 1
5300, 68, 36, 1
5400, 70, 37, 1
5500, 71, 38, 0
5600, 77, 42, 0
5700, 78, 43, 1
5800, 84, 42, 1
5900, 83, 45, 1
6000, 89, 45, 1
6100, 94, 54, 2
6200, 106, 50, 1
6300, 98, 53, 0
6400, 100, 52, 1
6500, 107, 52, 1
6600, 107, 56, 1
6700, 112, 57, 1
6800, 120, 64, 1
6900, 133, 66, 0
7000, 134, 64, 1
7100, 133, 63, 1
7200, 135, 68, 1
7300, 157, 71, 1
7400, 146, 78, 0
7500, 170, 160, 2
7600, 189, 78, 1
7700, 157, 87, 1
7800, 183, 84, 2
7900, 171, 80, 1
8000, 165, 82, 2
8100, 175, 87, 3
8200, 207, 92, 1
8300, 187, 91, 1
8400, 194, 92, 1
8500, 193, 96, 1
8600, 198, 100, 1
8700, 226, 107, 1
8800, 215, 103, 1
8900, 215, 111, 1
9000, 221, 103, 1
9100, 224, 108, 1
9200, 228, 111, 1
9300, 259, 112, 2
9400, 246, 116, 1
9500, 275, 153, 2
9600, 251, 121, 2
9700, 280, 132, 2
9800, 276, 135, 2
9900, 279, 126, 1
